G,F,W,V1,V2,V3,C
960.9100459,127.4918349,7091.324682,228.5759389,304.5709775,52.52667377,0.137447737
960.7068941,132.0749108,6539.618999,222.8544268,306.7815148,52.48270065,0.157666957
958.3755281,151.4717324,6845.842315,223.1003188,291.0997118,52.42029329,0.168055575
959.8307808,161.0603504,7155.190662,226.1277237,286.6257993,52.36560962,0.139579638
960.6393377,133.9728334,7282.02285,228.0405277,263.8816,52.26634869,0.113406341
960.1454929,108.9425924,6765.85605,223.1882952,277.8719377,52.21255676,0.110206689
960.5186367,105.8144559,6462.587662,219.4810556,275.0874621,52.15229574,0.110419265
959.8839879,106.0597616,6445.444922,217.7483401,263.5500982,52.11944219,0.112513524
959.7836112,107.99993,6427.51765,217.8689787,252.242814,52.10840579,0.128587931
959.3643153,123.4165892,6528.809014,217.0729799,242.8618422,52.14740847,0.143055338
959.4969,137.2421863,6911.56119,220.0040413,175.4805943,52.09357328,0.161150026
958.5871096,154.6229507,7223.339928,224.3568169,172.7667591,52.01658545,0.135187326
960.8280552,129.5888278,7123.470553,278.8697764,203.9021485,52.0642317,0.128309825
960.3135885,123.2836798,6688.138707,244.8427847,225.0482568,52.1052869,0.13704504
960.3785019,131.6062146,6668.601541,220.5932425,355.5528593,52.19517059,0.150186743
957.2498883,144.236119,6911.663967,222.2420913,391.3732029,52.18478758,0.166126147
962.2732284,159.0242359,7244.058558,225.7329234,397.344294,51.95376785,0.161177421
961.0145026,155.0967173,7335.025169,228.85097,422.9410208,51.87795423,0.151975531
960.3315217,146.0506891,7077.900167,228.4195234,446.7762102,52.02666794,0.144956115
960.1358652,139.2059267,6835.071882,226.2522235,430.8034185,51.95109506,0.148864784
959.688752,142.9304177,6857.653063,223.0601956,397.1894857,51.70416644,0.138981524
960.5941439,133.3790055,6952.487453,223.3452597,389.2031506,51.69445792,0.140177957
958.6665908,134.6541248,7129.65052,222.5471287,369.7372024,51.7099921,0.144762115
955.2646311,138.7786032,7672.155303,222.225765,278.0587242,51.48535918,0.152097439
959.5579569,145.2933035,8056.914046,224.8120797,140.7607713,51.576243,0.181106845
962.8427813,173.7825137,8230.90216,226.2562314,208.1002981,51.58431518,0.165311644
959.5571465,159.1691233,7445.011354,231.9706423,296.0656684,51.61648368,0.136554397
960.0436787,131.0317475,6792.935685,229.1967741,305.1637091,51.61191503,0.121354212
958.5764521,116.5053439,6389.616024,221.8014408,318.8253605,51.61777147,0.120879227
962.3935731,115.8719805,6252.808602,219.6030306,337.6557194,51.59874164,0.122685975
959.5405751,118.0721939,6217.706856,219.8472305,308.2571772,51.64388728,0.12894457
958.8374529,123.7275471,6345.985921,220.4286429,294.7326793,51.51780409,0.135807407
959.3141332,130.2172285,6633.475552,221.5492541,256.5684103,51.40367226,0.139472131
959.3140883,133.7975866,6910.232065,225.2527716,262.0089026,51.41432241,0.154544543
961.1625051,148.2567576,7232.505473,227.3230343,268.8774885,51.40540445,0.160627837
959.7285221,154.3894545,7363.350291,229.1173122,264.3654368,51.38752149,0.170594569
960.9576182,163.7244738,7600.387485,230.8057392,264.0936246,51.44282535,0.173730356
960.2239616,166.9475093,7559.183833,230.1321989,265.1415906,51.45596836,0.141388996
960.9354232,135.7651022,7385.493496,230.8560557,268.2024784,51.08430499,0.115099377
961.5887706,110.6030686,6812.513005,224.0949713,261.6217374,50.95976471,0.109972543
960.5076461,105.7483625,6489.503998,218.595695,223.4733788,50.93292428,0.108792838
960.2533668,104.4963526,6413.706672,218.789983,219.3893471,50.997141,0.119681154
959.4240002,114.9242314,6422.369255,217.2805851,226.7662145,51.10419329,0.124147395
959.6156932,119.1099905,6572.434754,218.6275121,222.2791957,51.20165236,0.115895613
958.2297432,111.2152486,6604.243912,219.9199902,225.4737629,51.21699583,0.106734354
959.9172716,102.2760326,6519.264043,219.0434552,257.0450184,51.31295606,0.133967247
958.7068541,128.5974738,6377.222549,215.8632579,248.0133229,51.34169873,0.162253689
960.0310152,155.5537237,7058.959286,236.6712087,292.208501,51.47664794,0.171509576
960.1585055,164.6545121,7473.251979,238.4535919,344.4548151,51.70354518,0.169586372
959.6467968,162.8297978,7523.331525,228.0438265,359.4515578,51.76311811,0.158503078
960.1164031,152.1069715,7373.489272,229.2582909,344.0829804,51.65356485,0.131031954
961.6080064,125.8059286,6894.017184,227.2375697,241.8353847,51.46053937,0.121807398
960.5344077,117.1309696,6520.058832,221.1734616,321.134865,51.63398019,0.118596197
959.8652378,113.9157274,6317.744267,220.6205828,323.2204772,52.25852152,0.125852642
959.7019703,120.8015764,6310.482995,220.0232388,360.1815286,52.39490442,0.136574093
959.6099904,131.0704266,6451.934281,219.7757572,346.4353351,52.2794138,0.151841493
961.1810193,145.7086133,6836.343371,228.3823337,365.9317151,51.96014122,0.155704315
960.0126983,149.6600325,7074.712834,226.8474647,360.8263751,51.80340727,0.15997623
959.8308505,153.5792121,7401.23169,234.0691663,383.7955794,51.78240321,0.161605106
959.8273568,155.1135665,7700.291181,231.9377014,372.017118,51.84379598,0.157864438
957.3765451,151.5226065,7778.470017,227.3954504,377.7227092,51.96663244,0.164115276
961.7489236,157.1201157,7913.192364,227.310174,374.6731423,51.91188807,0.145408715
960.6542055,139.8466753,7298.425457,228.0923739,365.3530651,51.93508528,0.138950611
959.3067832,133.4834887,7016.314678,224.0860571,369.7593384,51.95455892,0.136094881
960.5094404,130.5567427,6808.64506,223.0061622,356.7294929,51.86572088,0.118990029
960.2161593,114.2910459,6701.090764,224.5348949,357.2258151,51.86710307,0.128036071
960.7785073,122.942304,6420.055962,219.7656029,371.8675867,51.71362043,0.135096795
960.0555804,129.7980968,6629.933269,221.4327655,375.6942914,51.73818969,0.142319687
961.0377476,136.6348095,6833.233359,223.0381425,365.1149861,51.87730798,0.15217651
959.9273004,146.2473708,6953.379197,223.4203899,364.0364871,51.93078279,0.148237139
960.8400502,142.2968769,7031.167111,225.1070064,379.3884079,51.90207599,0.15154914
959.0311293,145.6144835,7114.50771,228.0909357,388.4047251,52.08629367,0.160904317
959.2441497,154.3122488,7523.333611,240.7508077,381.5121569,52.10152125,0.16991194
959.8623313,162.9870342,7747.447866,229.8291465,371.3363517,51.99371089,0.17301592
960.2620479,166.0714647,7834.61064,228.9947106,361.8603082,51.94822989,0.171662017
960.7785338,164.8405199,7687.240714,230.3646891,344.3045207,51.90009789,0.174666743
959.4524174,167.8160569,7505.527221,229.2442004,355.1049385,51.94551031,0.179258607
959.7943791,171.9901039,7495.473007,230.4989454,374.0679112,51.90704587,0.176790067
960.3750392,169.6821123,7377.921706,231.7093025,385.5401616,51.87533825,0.163896344
960.9675407,157.4019579,6977.983842,231.2256329,379.0642624,51.89425354,0.153770456
959.7679159,147.7684172,6777.623536,227.9983553,378.8507533,51.96169945,0.153717929
960.3706938,147.5335362,6748.139437,225.4391414,385.1587126,51.88039852,0.164876828
958.5001354,158.3428737,7020.581978,226.929603,367.0823608,51.88841419,0.178799139
959.6003357,171.3789985,7581.663629,244.5614787,371.0106616,51.90519096,0.196077722
960.5211966,188.1562474,7978.825361,242.5500033,361.8137467,51.8849904,0.191384461
959.9706334,183.8288312,7915.943502,275.2804235,374.2782751,51.78016488,0.164254557
